Position,Driver,Team,Grid,Best,Milliseconds,Time
1,Pedro de la Rosa,HRT Formula 1™ Team,06,00:01:25.015,85015,7:26.589
2,Lewis Hamilton,Vodafone McLaren Mercedes,07,00:01:28.871,88871,'+21.868
3,Sebastian Vettel,Red Bull Racing,03,00:01:26.574,86574,+10 SECS
4,Fernando Alonso,Scuderia Ferrari,02,00:01:31.206,91206,'+22.965
5,Pastor Maldonado,Williams F1 Team,04,00:01:30.619,90619,'+26.135
6,Kimi Räikkönen,Lotus F1 Team,09,00:01:30.252,90252,'+27.385
7,Kamui Kobayashi,Sauber F1 Team,12,00:01:29.253,89253,'+28.780
8,Nico Hülkenberg,Sahara Force India F1 Team,16,00:01:27.085,87085,'+31.266
9,Daniel Ricciardo,Scuderia Toro Rosso,18,00:01:27.136,87136,'+31.708
10,Sergio Pérez 2012,Sauber F1 Team V Poy Sau,14,00:01:27.164,87164,'+32.173
11,H.Kovalainen,Caterham F1 Team,19,00:01:27.799,87799,'+33.741
2,Bruno Senna,Williams F1 Team,17,00:01:27.649,87649,'+33.770
